Question,Answer
~reverse,True
ich war,я был
du warst,ты был
er/sie/es war,он/она/оно был(а/о)
wir waren,мы были
ihr wart,вы были
sie/Sie waren,они/Вы были
ich hatte,я имел
du hattest,ты имел
er/sie/es hatte,он/она/оно имел(а/о)
wir hatten,мы имели
ihr hattet,вы имели
sie/Sie hatten,они/Вы имели
ich lernte, я учил
du lerntest, ты учил
er/sie/es lernte, он/она/оно учил(а/о)
wir lernten, мы учили
ihr lerntet, вы учили
sie/Sie lernten, они/Вы учили
ich arbeitete, я работал
du arbeitetest, ты работал
er/sie/es arbeitete, он/она/оно работал(а/о)
wir arbeiteten, мы работали
ihr arbeitetet, вы работали
sie arbeiteten, они/Вы работали
