Question,Answer
~question_language,de
~answer_language,de
müssen; ich,ich muss
müssen; du,du musst
"müssen; er, sie, es","er, sie, es muss"
müssen; wir,wir müssen
"müssen; sie, Sie","sie, Sie müssen"
müssen; ihr,ihr müsst
sollen; ich,ich soll
sollen; du,du sollst
"sollen; er, sie, es","er, sie, es soll"
sollen; wir,wir sollen
"sollen; sie, Sie","sie, Sie sollen"
sollen; ihr,ihr sollt
können; ich,ich kann
können; du,du kannst
"können; er, sie, es","er, sie, es kann"
können; wir,wir können
"können; sie, Sie","sie, Sie können"
können; ihr,ihr könnt
dürfen; ich,ich darf
dürfen; du,du darfst
"dürfen; er, sie, es","er, sie, es darf"
dürfen; wir,wir dürfen
"dürfen; sie, Sie","sie, Sie dürfen"
dürfen; ihr,ihr dürft
wollen; ich,ich will
wollen; du,du willst
"wollen; er, sie, es","er, sie, es will"
wollen; wir,wir wollen
"wollen; sie, Sie","sie, Sie wollen"
wollen; ihr,ihr wollt
möchten; ich,ich möchte
möchten; du,du möchtest
"möchten; er, sie, es","er, sie, es möchte"
möchten; wir,wir möchten
"möchten; sie, Sie","sie, Sie möchten"
möchten; ihr,ihr möchtet
