Question,Answer
~question_language,ru
~answer_language,de
Кто? Мужчина,Nominativ: Wer? Der Mann / Ein Mann
Кто? Женщина,Nominativ: Wer? Die Frau / Eine Frau
Кто? Ребёнок,Nominativ: Wer? Das Kind / Ein Kind
Кто? Дети,Nominativ: Wer? Die Kinder / Meine Kinder
Кого? Мужчину,Akkusativ: Wen? Den Mann / Einen Mann
Кого? Женщину,Akkusativ: Wen? Die Frau / Eine Frau
Кого? Ребёнка,Akkusativ: Wen? Das Kind / Ein Kind
Кого? Детей,Akkusativ: Wen? Die Kinder / Meine Kinder
Кому? Мужчине,Dativ: Wem? Dem Mann / Einem Mann
Кому? Женщине,Dativ: Wem? Der Frau / Einer Frau
Кому? Ребёнку,Dativ: Wem? Dem Kind / Einem Kind
Кому? Детям,Dativ: Wem? Den Kindern / Meinen Kindern
Чей? Мужчины,Genitiv: Wessen? Des Mannes / Eines Mannes
Чей? Женщины,Genitiv: Wessen? Der Frau / Einer Frau
Чей? Ребёнка,Genitiv: Wessen? Des Kindes / Eines Kindes
Чей? Детей,Genitiv: Wessen? Der Kinder / Meiner Kinder
