Question,Answer
~reverse,True
die Sekunde,секунда,-
die Minute,минута,-
die Stunde,час,-
der Tag,день,-
der Morgen,утро,-
der Mittag, полдень,-
der Abend,вечер,-
die Nacht,ночь,-
der Montag,понедельник,-
der Dienstag,вторник
der Mittwoch,среда,-
der Donnerstag,четверг,-
der Freitag,пятница,-
der Samstag,суббота
der Sonntag,воскресенье
die Woche,неделя,-
der Januar,Январь,-
der Februar,Февраль,-
der März,Март,-
der April,Апрель,-
der Mai,Май,-
der Juni,Июнь,-
der Juli,Июль,-
der August,Август,-
der September,Сентябрь,-
der Oktober,Октябрь,-
der November,Ноябрь,-
der Dezember,Декабрь,-
der Monat,месяц,-
der Frühling,весна,-
der Sommer,лето,-
der Herbst,осень,-
der Winter,зима,-
das Jahr,год,-
das Jahrhundert,век,-
jetzt,сейчас,-
heute,сегодня,-
gestern,вчера,-
morgen,завтра,-
bald,скоро,-
immer,всегда,-
manchmal,иногда,-
nie,никогда,-
schon,уже,-
noch,ещё,-
dann,"потом, затем",-
zuerst,сначала,-
zuletzt / schließlich,в конце концов,-
selten,редко,-
oft,часто,-
häufig,очень часто
gewöhnlich,обычно
gelegentlich,изредка
fast nie,почти никогда,-
fast immer,почти всегда,-
übermorgen,послезавтра,-
vorgestern,позавчера,-
gleichzeitig,одновременно,-
solange,пока,-
seit,(длится) начиная с... (в прошлом),-
nun,теперь
