Question,Answer
~answer_language,de
A,[aː] Affe [ˈʔafə] / Apfel [ˈʔapfəl]
B,[beː] Ball [bal] / Buch [buːχ]
C,[tseː] Computer [kɔmˈpjuːtɐ]
D,[deː] Deutschland [ˈdɔʏtʃlant] / Hund [hʊnt]
E,[eː] Essen [ˈʔɛsn̩] / See [zeː]
F,[ɛf] Fernseher [ˈfɛrnzeːɐ̯]
G,[ɡeː] Garten [ˈɡaʁtn̩]
H,[haː] Hase [ˈhaːzə] / Lohn [loːn]
I,[iː] Ihr [iːɐ̯] / Kind [kɪnt]
J,[jɔt] Jahr [jaːɐ̯] / Journal [ʒʊʁˈnaːl]
K,[kaː] Kaffee [ˈkafə] / König [ˈkøːnɪç]
L,[ɛl] Lampe [ˈlampə] / Apfel [ˈʔapfəl]
M,[ɛm] Mann [man]
N,[ɛn] Nase [ˈnaːzə]
O,[oː] Ofen [ˈoːfn̩]
P,[peː] Pferd [pfɛrt]
Q,[kuː] Quelle [ˈkvɛlə]
R,[ʁ] Rucken [ˈʁʊkən]
S,[ɛs] Sonne [ˈzɔnə]
T,[teː] Tisch [tɪʃ]
U,[uː] Uhr [uːɐ̯] / Hund [hʊnt]
V,[faʊ] Vogel [ˈfoːɡl̩]
W,[veː] Wasser [ˈvasɐ]
X,[ɪks] Xylofon [ˈk͜siːlofoːn]
Y,[ʏpsilon] Yoga [ˈjoːɡa]
Z,[t͡sɛt] Zeit [tsaɪ̯t]
Ä,[ɛː] Äpfel [ˈʔɛpfl̩]
Ö,[øː] Öl [øːl]
Ü,[yː] Über [ˈyːbɐ]
ẞ,[ɛs ˈtsɛt] Maße [ˈmaːsə]
st,[ʃt] Stuhl [ʃtuːl]
sp,[ʃp] Spiegel [ˈʃpiːɡl̩]
sch,[ʃ] Schiff [ʃɪf]
str,[ʃtʁ] Straße [ˈʃtʁaːsə]
schw,[ʃv] Schwimmen [ʃvɪmən]
pf,[pf] Pfad [pfat]
ch,[χ] Milch [mɪlχ]
tsch,[tʃ] Tschüss [tʃʏs]
chs,[ks] Dachs [daks]
tion,[tsi̯ɔn] Station [staˈt͡si̯oːn]
ei,[aɪ̯] Zeit [tsaɪ̯t]
ie,[iː] Liebe [ˈliːbə]
eu,[ɔɪ̯] Leute [ˈlɔɪ̯tə]
äu,[ɔʏ̯] Häuser [ˈhɔʏ̯zɐ]
