Question,Answer
~reverse,True
~forward,False

ich,я; Nominativ
mich,меня; Akkusativ
mir,мне; Dativ

du,ты; Nominativ
dich,тебя; Akkusativ
dir,тебе; Dativ

er,он; Nominativ
ihn,его; Akkusativ
ihm,ему; Dativ

sie,она; Nominativ
sie,её; Akkusativ
ihr,ей; Dativ

es,оно; Nominativ
es,его(от оно); Akkusativ
ihm,ему(от оно); Dativ

wir,мы; Nominativ
uns,нас; Akkusativ
uns,нам; Dativ

ihr,вы; Nominativ
euch,вас; Akkusativ
euch,вам; Dativ

sie,они; Nominativ
sie,их; Akkusativ
ihnen,им; Dativ

Sie,Вы; Nominativ
Sie,Вас; Akkusativ
Ihnen,Вам; Dativ

~reverse,False
~forward,False
meiner,мой; Genitiv
deiner,твой; Genitiv
seiner,его(от он); Genitiv
ihrer,её; Genitiv
seiner,его(от оно); Genitiv
unser,наш; Genitiv
eurer,ваш; Genitiv
ihrer,их; Genitiv
Ihrer,Ваш; Genitiv

meiner,моего Genitiv (1 лицо ед.ч.)
deiner,твоего Genitiv (2 лицо ед.ч.)
seiner,его Genitiv (3 лицо ед.ч. муж.р.)
ihrer,её Genitiv (3 лицо ед.ч. жен.р.)
seiner,его Genitiv (3 лицо ед.ч. ср.р.)
unser,нашего Genitiv (1 лицо мн.ч.)
euer,вашего Genitiv (2 лицо мн.ч.)
ihrer,их Genitiv (3 лицо мн.ч.)
Ihrer,Вашего Genitiv (вежл. форма)
