Question,Answer
Ты фотографируешь меня.,Du fotografierst mich.
Ты встречаешь меня.,Du triffst mich.
Она видит тебя.,Sie sieht dich.
Вы (Sie) звоните ему.,Sie rufen ihn an.
Он знает ее.,Er kennt sie.
Врач тебя обследует.,Der Arzt untersucht dich.
Ребенок спрашивает нас.,Das Kind fragt uns.
Турист платит ему.,Der Tourist zahlt ihm.
Друг замечает это.,Der Freund bemerkt es.
Мальчик посещает Вас (Sie).,Der Junge besucht Sie.
Учитель говорит мне.,Der Lehrer sagt mir.
Сотрудники находят его.,Die Mitarbeiter finden ihn.
Полицейский ищет ее.,Der Polizist sucht sie.
Механик чинит его.,Der Mechaniker repariert ihn.
Школьник выполняет его.,Der Schüler macht ihn.
Начальник подписывает это.,Der Leiter unterschreibt es.
Клиент копирует их.,Der Kunde kopiert sie.
Журналист пишем вам (ihr).,Der Journalist schreibt euch.
Прохожий описывает ее.,Der Passant beschreibt sie.
Медсестра рекомендует ему.,Die Krankenschwester empfiehlt ihm.
Собака служит ему.,Der Hund dient ihm.
Знакомый возражает ему.,Der Bekannte widerspricht ihm.
Он советует Вам (Sie).,Er rät Ihnen.
Мне нравится это.,Mir gefällt das.
Блузка подходит ей.,Die Bluse passt ihr. 
Чемодан принадлежит нам.,Der Koffer gehört uns.
Десерт приходится мне по вкусу.,Der Nachtisch schmeckt mir.
Он угрожает мне.,Er droht mir.
Она доверяет мне.,Sie vertraut mir.
Мы прощаем тебя.,Wir verzeihen dir.
Воспитатель помогает ему.,Der Erzieher hilft ihm.
Сотрудники соглашаются с вами (ihr).,Die Mitarbeiter stimmen euch zu.
Он поздравляет Вас (Sie).,Er gratuliert ihnen.
Она благодарит ее.,Sie dankt ihr.
