Question,Answer
~question_language,ru
~answer_language,de
Здесь стоит (неопр) стол.,Hier steht ein Tisch.
Дерево очень большое и старое.,Der Baum ist sehr groß und alt.
Это - комната. Эта комната маленькая и уродливая., Das ist ein Zimmer. Das Zimmer ist klein und hässlich.
Он хороший (неопр) работник.,Er ist ein guter Arbeiter.
Ты прекрасна как (неопр) цветок.,Du bist schön wie eine Blume.
Это - ваза. Эта ваза новая.,Das ist eine Vase. Die Vase ist neu.
Учитель приходит.,Der Lehrer kommt.
Женщина очень хорошо поёт.,Die Frau singt sehr gut.
Сегодня небо тёмное.,Der Himmel ist dunkel heute.
Кролик белый.,Das Kaninchen ist weiß.
"Учительница строгая, но справедливая","Die Lehrerin ist streng, aber gerecht."
Это - цветок. Цветок красивый.,Das ist eine Blume. Die Blume ist schön.
Это - здание. Здание уродливое.,Das ist ein Gebäude. Das Gebäude ist hässlich.
Человек умный.,Der Mensch ist klug.
Это - ученик.,Das ist ein Schüler.
Солнце яркое.,Die Sonne ist hell.
Девочка не глупая.,Das Mädchen ist nicht dumm.
Берлин - (неопр) большой город.,Berlin ist eine große Stadt.
