Question,Answer
~question_language,ru
~answer_language,de

"Учитель дает ученику книгу.","Der Lehrer gibt dem Schüler das Buch."
"Мама дает ребенку молоко.","Die Mutter gibt dem Kind die Milch."
"Папа дарит сыну мяч.","Der Vater schenkt dem Sohn den Ball."
"Женщина помогает мужчине.","Die Frau hilft dem Mann."
"Мальчик дает собаке еду.","Der Junge gibt dem Hund das Essen."
"Девочка показывает маме картинку.","Das Mädchen zeigt der Mutter das Bild."
"Женщина покупает цветы.","Die Frau kauft die Blumen."
"Учитель объясняет ученику задание.","Der Lehrer erklärt dem Schüler die Aufgabe."
"Мальчик приносит маме письмо.","Der Junge bringt der Mutter den Brief."
"Девочка дает брату игрушку.","Das Mädchen gibt dem Bruder das Spielzeug."
"Мужчина пишет женщине сообщение.","Der Mann schreibt der Frau die Nachricht."
"Ребенок дает кошке молоко.","Das Kind gibt der Katze die Milch."
"Женщина читает ребенку книгу.","Die Frau liest dem Kind das Buch."
"Мужчина дает женщине цветок.","Der Mann gibt der Frau die Blume."
"Учитель задает ученикам вопрос.","Der Lehrer stellt den Schülern die Frage."
"Ребенок показывает папе рисунок.","Das Kind zeigt dem Vater die Zeichnung."
"Женщина дает мужчине ключ.","Die Frau gibt dem Mann den Schlüssel."
"Папа дает маме подарок.","Der Vater gibt der Mutter das Geschenk."
"Мальчик дает девочке яблоко.","Der Junge gibt dem Mädchen den Apfel."
"Девочка приносит маме цветы.","Das Mädchen bringt der Mutter die Blumen."
"Женщина показывает мужчине дом.","Die Frau zeigt dem Mann das Haus."
"Мужчина дает женщине книгу.","Der Mann gibt der Frau das Buch."
"Ребенок приносит папе мяч.","Das Kind bringt dem Vater den Ball."
"Папа покупает сыну игрушку.","Der Vater kauft dem Sohn das Spielzeug."
"Женщина готовит мужчине суп.","Die Frau kocht dem Mann die Suppe."
"Мальчик пишет бабушке письмо.","Der Junge schreibt der Oma den Brief."
"Девочка дает брату ручку.","Das Mädchen gibt dem Bruder den Stift."
"Женщина приносит гостю чай.","Die Frau bringt dem Gast den Tee."
"Учитель показывает ученикам пример.","Der Lehrer zeigt den Schülern das Beispiel."
"Мама покупает дочери платье.","Die Mutter kauft der Tochter das Kleid."
"Ребенок рассказывает маме историю.","Das Kind erzählt der Mutter die Geschichte."
"Женщина дарит подруге сумку.","Die Frau schenkt der Freundin die Tasche."
"Мужчины дарят женщинам цветы.","Die Männer schenken den Frauen die Blumen."
"Мамы читают детям книги.","Die Mütter lesen den Kindern die Bücher."
"Мама дает детям конфеты.","Die Mutter gibt den Kindern die Bonbons."
"Отец покупает сыновьям куртки.","Der Vater kauft den Söhnen die Jacken."
"Женщина читает детям сказки.","Die Frau liest den Kindern die Märchen."
"Учитель показывает ученикам картинки.","Der Lehrer zeigt den Schülern die Bilder."
"Ребенок приносит родителям цветы.","Das Kind bringt den Eltern die Blumen."
"Мама печет гостям пирог.","Die Mutter backt den Gästen den Kuchen."
"Папа покупает детям билеты.","Der Vater kauft den Kindern die Tickets."
"Женщина объясняет детям слова.","Die Frau erklärt den Kindern die Wörter."
"Мужчина дает друзьям советы.","Der Mann gibt den Freunden die Tipps."
"Папа приносит гостям напитки.","Der Vater bringt den Gästen die Getränke."
"Женщина дарит детям игрушки.","Die Frau schenkt den Kindern die Spielsachen."
"Мужчина читает детям (неопр) книгу.","Der Mann liest den Kindern ein Büch."
"Девочка видит птицу.","Das Mädchen sieht den Vogel."
"Ребенок ест яблоко.","Das Kind isst den Apfel."
"Мальчик видит собаку.","Der Junge sieht den Hund."
Я получаю зарплату.,Ich bekomme den Lohn.
