Question,Answer
~question_language,de
~answer_language,de
die Tasse,die Tassen
das Fenster,die Fenster
das Sofa,die Sofas
die Treppe,die Treppen
das Haus,die Häuser
der Teller,die Teller
das Bild,die Bilder
der Finger,die Finger
die Sprache,die Sprachen
das Büro,die Büros
der Computer,die Computer
das Buch,die Bücher
das Handy,die Handys
das Bild,die Bilder
die Tasse,die Tassen
der Tag,die Tage
der Platz,die Plätze 
die Hand,die Hände
die Frage,die Fragen
das Land,die Länder
das Heft,die Hefte
die Familie,die Familien
der Gast,die Gäste
die Rose,die Rosen
die Frau,die Frauen
der Schrank,die Schränke
die Antwort,die Antworten
der Stuhl,die Stühle
der Monat,die Monate
der Fisch,die Fische
die Wand,die Wände
der Bus,die Busse
der Bruder,die Brüder
die Mutter,die Mütter
der Sohn,die Söhne
das Kind,die Kinder
der Freund,die Freunde
die Tasche,die Taschen
das Fenster,die Fenster
das Haus,die Häuser
die Lehrerin,die Lehrerinnen
der Arbeiter,die Arbeiter
der Arzt,die Ärzte
der Vater,die Väter
der Hund,die Hunde
die Tür,die Türen
das Buch,die Bücher
die Freundin,die Freundinnen
die Nacht,die Nächte
das Bild,die Bilder
das Auge,die Augen
die Tochter,die Töchter
das Hemd,die Hemden
der Garten,die Gärten
der Sessel,die Sessel
~question_language,ru
Любовь живёт сегодня онлайн.,Die Liebe lebt heute online. 
Я получаю зарплату.,Ich bekomme den Lohn.
Продукты в магазине дешевые.,Die Lebensmittel im Geschäft sind billig.
США – государство. ,Die USA sind ein Staat.   
Недвижимость дорогая.,Die Immobilien sind teuer.
Ученики умные.,Die Schüler sind klug.
Паспорта старые.,Die Pässe sind alt.
"Кресла новые, но диваны старые.","Die Sessel sind neu, aber die Sofas sind alt."
Люди пишут письма.,Die Menschen schreiben die Briefe. 
Сыновья красивые и дочери умные.,Die Söhne sind schön und die Töchter sind klug.
