Question,Answer
Девочка сосредотачивается на домашних заданиях.,Das Mädchen konzentriert sich auf die Hausaufgaben.
"Ей следует сейчас поспешить, так как она может опоздать.","Sie muss sich jetzt beeilen, denn sie kann sich verspäten."
"Я бреюсь неправильно, поэтому у меня проблемная кожа.","Ich rasiere mich nicht richtig, deshalb habe ich Problemhaut."
Мы моемся утром и вечером. ,Wir waschen uns morgens und abends.
"Ты двигаешься очень мало, поэтому ты чувствуешь себя плохо.","Du bewegst dich zu wenig, deshalb fühlst du dich schlecht."
Ему следует больше заботиться о своих близких. ,Er muss sich um seine Verwandten mehr kümmern.
Этот человек очень спортивный. Он питается сбалансированно.,Dieser Mensch ist sehr sportlich. Er ernährt sich gesund.
У нее хорошие оценки в школе. Мы радуемся за нее.,Sie hat gute Noten in der Schule. Wir freuen uns für sie!
Школьник интересуется наукой.,Der Schüler interessiert sich für die Wissenschaft.
Хотел ли бы ты к нам подать заявление на работу?,Willst du dich bei uns bewerben? 
Вы готовитесь к празднику в офисе?,Bereitet ihr euch schon zum/auf das/für das Fest im Büro vor? 
"Она иногда вспоминает о школьных годах, когда просматривает старые фотографии.","Sie erinnert sich manchmal an Schuljahre, wenn sie sich alte Fotos ansieht."
Почему они стыдятся? ,Warum schämen sie sich? 
Они позволяют себе много хороших вещей.,Sie leisten sich viele gute Dinge/Sachen.
Где находится многоэтажный дом? ,Wo befindet sich das mehrstöckige Haus?
Он покупает мне новые наушники. ,Er kauft mir neue Kopfhörer.
"Я должен одеваться тепло, так как я очень часто простужаю себе горло. Я простужаюсь легко.","Ich muss mich warm anziehen, denn ich erkälte mir meinen Hals sehr oft. Ich erkälte mich leicht."
Ты уже представляешь себе это место? ,Stellst du dir diesen Ort schon vor? 
Я мою себе руки. ,Ich wäsche mir die Hände.
Что ты собственно говоря делаешь сейчас? Я смотрю телевизионное шоу. ,Was machst du eigentlich jetzt? Ich sehe mir eine Fernsehshow an.
Он исправляет ошибки в ее тексте. Она благодарит его за помощь.,Er korrigiert die Fehler in ihrem Text. Sie bedankt sich bei ihm für die Hilfe.
Die Bewohner können ……… abends nicht ………. (sich entspannen),Die Bewohner können sich abends nicht entspannen.
Sie ……… ……… über neue Nachbarn. (sich ärgern über),Sie ärgern sich über neue Nachbarn.
"Ich denke, dass sie ……… über Nachbarn ……… und die Polizei anrufen. (sich beschweren über)","Ich denke, dass sie sich über Nachbarn beschweren und die Polizei anrufen."
"……… du ……… über deine Nachbarn, wenn sie schreien oder sehr viel Lärm machen? (sich ärgern)","Ärgerst du dich über deine Nachbarn, wenn sie schreien oder sehr viel Lärm machen?"
Ich ……… in andere Wohnung ………. (umziehen),Ich ziehe in andere Wohnung um.
"Ich hoffe, dass ich ……… dort gut ……… kann. (sich ausruhen)","Ich hoffe, dass ich mich dort gut ausruhen kann."
Stellst du ……… meine neue Wohnung schon ………? (sich vorstellen),Stellst du dir meine neue Wohnung schon vor?
"Ja, ich ……… ……… deine Wohnung schon ………, aber wie entscheidest du ……… dafür? (sich vorstellen, sich entscheiden)","Ja, ich stelle mir deine Wohnung schon vor, aber wie entscheidest du dich dafür? "
Meine Nachbarn bezahlen ……… große Geldstrafe.,Meine Nachbarn bezahlen mir große Geldstrafe.
Und kannst du ……… eine Wohnung oder ein Haus wirklich ………? (sich leisten),Und kannst du dir eine Wohnung oder ein Haus wirklich leisten? 
Ich suche ……… etwas Neues immer gerne. (sich suchen),Ich suche mir etwas Neues immer gerne.
