Question,Answer
~comment,Beispiel_masc / Beispiel_fem / Beispiel_neut / Beispiel_pl / Case
~answer_language,de

für ...[Fall],Akkusativ: das->fürs
um ...[Fall],Akkusativ: das->ums
durch ...[Fall],Akkusativ: das->durchs
ohne ...[Fall],Akkusativ
gegen ...[Fall],Akkusativ

mit ...[Fall],Dativ
nach ...[Fall],Dativ
aus ...[Fall],Dativ
zu ...[Fall],"Dativ: dem->zum, der->zur"
von ...[Fall],Dativ: dem->vom
bei ...[Fall],Dativ: dem->beim
seit ...[Fall],Dativ
ab ...[Fall],Dativ

an ...[Fall],"wohin Akk / wo Dat: dem->am, das->ans"
in ...[Fall],"wohin Akk / wo Dat: dem->im, das->ins"
auf ...[Fall],wohin Akk / wo Dat: das->aufs
über ...[Fall],wohin Akk / wo Dat: das->übers
unter ...[Fall],wohin Akk / wo Dat: das->unters
vor ...[Fall],wohin Akk / wo Dat
hinter ...[Fall],wohin Akk / wo Dat
zwischen ...[Fall],wohin Akk / wo Dat
neben ...[Fall],wohin Akk / wo Dat
