Question,Answer
с мужем,mit dem Mann (Dativ)
с женой,mit der Frau (Dativ)
с друзьями,mit den Freunden (Dativ)
для мужа,für den Mann (Akkusativ)
для ребенка,für das Kind (Akkusativ)
для друзей,für die Freunde (Akkusativ)
после работы,nach der Arbeit (Dativ)
после еды,nach dem Essen (Dativ)
после праздников,nach den Ferien (Dativ)
вокруг стола,um den Tisch (Akkusativ)
вокруг дома,um das Haus (Akkusativ)
вокруг деревьев,um die Bäume (Akkusativ)
из школы,aus der Schule (Dativ)
из комнаты,aus dem Zimmer (Dativ)
из зданий,aus den Gebäuden (Dativ)
через туннель,durch den Tunnel (Akkusativ)
через дверь,durch die Tür (Akkusativ)
через окно,durch das Fenster (Akkusativ)
к матери,zur Mutter (Dativ)
к(в) гостиницу,zum Hotel (Dativ)
к(в) гости,zu den Gästen (Dativ)
без отца,ohne den Vater (Akkusativ)
без книги,ohne das Buch (Akkusativ)
без людей,ohne die Leute (Akkusativ)
от учителя,vom Lehrer (Dativ)
от подруги,von der Freundin (Dativ)
от соседей,von den Nachbarn (Dativ)
против плана,gegen den Plan (Akkusativ)
против идеи,gegen die Idee (Akkusativ)
против закона,gegen das Gesetz (Akkusativ)
у врача,bei der Ärztin (Dativ)
у (на) концерте,beim Konzert (Dativ)
у родителей,bei den Eltern (Dativ)
с(прошлое) дня,seit dem Tag (Dativ)
с(прошлое) недели,seit der Woche (Dativ)
с(прошлое) лет,seit den Jahren (Dativ)
с(будущее) момента,ab dem Moment (Dativ)
с(будущее) часа,ab der Stunde (Dativ)
с(будущее) праздников,ab den Ferien (Dativ)
