Question,Answer
"туда, на пляж","an den Strand (Akkusativ)"
"там, на пляже","an dem Strand (Dativ)"
"туда, на стену","an die Wand (Akkusativ)"
"там, на стене","an der Wand (Dativ)"
"туда, на окно","ans Fenster (Akkusativ)"
"там, на окне","an dem Fenster (Dativ)"
"туда, в парк","in den Park (Akkusativ)"
"там, в парке","in dem Park (Dativ)"
"туда, в город","in die Stadt (Akkusativ)"
"там, в городе","in der Stadt (Dativ)"
"туда, в комнату","ins Zimmer (Akkusativ)"
"там, в комнате","in dem Zimmer (Dativ)"
"туда, на стул","auf den Stuhl (Akkusativ)"
"там, на стуле","auf dem Stuhl (Dativ)"
"туда, на улицу","auf die Straße (Akkusativ)"
"там, на улице","auf der Straße (Dativ)"
"туда, на диван","aufs Sofa (Akkusativ)"
"там, на диване","auf dem Sofa (Dativ)"
"туда, над столом","über den Tisch (Akkusativ)"
"там, над столом","über dem Tisch (Dativ)"
"туда, над часами","über die Uhr (Akkusativ)"
"там, над часами","über der Uhr (Dativ)"
"туда, над окном","über das Fenster (Akkusativ)"
"там, над окном","über dem Fenster (Dativ)"
"туда, под стол","unter den Tisch (Akkusativ)"
"там, под столом","unter dem Tisch (Dativ)"
"туда, под дверь","unter die Tür (Akkusativ)"
"там, под дверью","unter der Tür (Dativ)"
"туда, под кровать","unter das Bett (Akkusativ)"
"там, под кроватью","unter dem Bett (Dativ)"
"туда, перед входом","vor den Eingang (Akkusativ)"
"там, перед входом","vor dem Eingang (Dativ)"
"туда, перед дверью","vor die Tür (Akkusativ)"
"там, перед дверью","vor der Tür (Dativ)"
"туда, перед окном","vor das Fenster (Akkusativ)"
"там, перед окном","vor dem Fenster (Dativ)"
"туда, за шкаф","hinter den Schrank (Akkusativ)"
"там, за шкафом","hinter dem Schrank (Dativ)"
"туда, за полку","hinter das Regal (Akkusativ)"
"там, за полкой","hinter dem Regal (Dativ)"
"туда, за здания","hinter die Gebäude (Akkusativ)"
"там, за зданиями","hinter den Gebäuden (Dativ)"
"туда, между стульев","zwischen die Stühle (Akkusativ)"
"там, между стульями","zwischen den Stühlen (Dativ)"
"туда, между стеной и шкафом","zwischen die Wand und den Schrank (Akkusativ)"
"там, между стеной и шкафом","zwischen der Wand und dem Schrank (Dativ)"
"туда, рядом со шкафом","neben den Schrank (Akkusativ)"
"там, рядом со шкафом","neben dem Schrank (Dativ)"
"туда, рядом с полкой","neben das Regal (Akkusativ)"
"там, рядом с полкой","neben dem Regal (Dativ)"
"туда, рядом со зданиями","neben die Gebäude (Akkusativ)"
"там, рядом со зданиями","neben den Gebäuden (Dativ)"
