Question,Answer
~question_language,ru
~answer_language,de
Я иду с тобой.,Ich gehe mit dir.
Он живёт с ней.,Er wohnt mit ihr.
Мы идём с ним.,Wir gehen mit ihm.
Она идёт с нами.,Sie geht mit uns.
Я говорю с вами(ув).,Ich spreche mit Ihnen.
Ты идёшь к нему.,Du gehst zu ihm.
Мы идём к ней.,Wir gehen zu ihr.
Он приходит к нам.,Er kommt zu uns.
Я думаю о тебе.,Ich denke an dich.
Она говорит о нём.,Sie spricht über ihn.
Мы говорим о ней.,Wir sprechen über sie.
Он пишет о нас.,Er schreibt über uns.
Ты без меня.,Du bist ohne mich.
Он без неё.,Er ist ohne sie.
Мы без него.,Wir sind ohne ihn.
Я для тебя.,Ich bin für dich.
Он для нас.,Er ist für uns.
Мы для неё.,Wir sind für sie.
Подарок для него.,Das Geschenk ist für ihn.
Письмо - от тебя.,Der Brief ist von dir.
Цветы от неё.,Die Blumen sind von ihr.
Сообщение от него.,Die Nachricht ist von ihm.
Это для вас(ув).,Das ist für Sie.
Книга у меня.,Das Buch ist bei mir.
Кошка у него.,Die Katze ist bei ihm.
Телефон - у неё.,Das Handy ist bei ihr.
Дети у нас.,Die Kinder sind bei uns.
Мы идём после тебя.,Wir gehen nach dir.
Он идёт перед ней.,Er geht vor ihr.
Я стою между вами.,Ich stehe zwischen euch.
