Question,Answer
с мужем,mit dem Mann (Dativ)
с женой,mit der Frau (Dativ)
с ребенком,mit dem Kind (Dativ)
с друзьями,mit den Freunden (Dativ)
для мужа,für den Mann (Akkusativ)
для жены,für die Frau (Akkusativ)
для ребенка,für das Kind (Akkusativ)
для друзей,für die Freunde (Akkusativ)
после праздника,nach dem Urlaub (Dativ)
после работы,nach der Arbeit (Dativ)
после еды,nach dem Essen (Dativ)
после праздников,nach den Ferien (Dativ)
вокруг стола,um den Tisch (Akkusativ)
вокруг лампы,um die Lampe (Akkusativ)
вокруг дома,um das Haus (Akkusativ)
вокруг деревьев,um die Bäume (Akkusativ)
из машины,aus dem Auto (Dativ)
из школы,aus der Schule (Dativ)
из комнаты,aus dem Zimmer (Dativ)
из зданий,aus den Gebäuden (Dativ)
через туннель,durch den Tunnel (Akkusativ)
через дверь,durch die Tür (Akkusativ)
через окно,durch das Fenster (Akkusativ)
через улицы,durch die Straßen (Akkusativ)
к врачу,zum Arzt (Dativ)
к матери,zur Mutter (Dativ)
в(к) гостиницу,zum Hotel (Dativ)
в(к) гости,zu den Gästen (Dativ)
без отца,ohne den Vater (Akkusativ)
без сестры,ohne die Schwester (Akkusativ)
без книги,ohne das Buch (Akkusativ)
без людей,ohne die Leute (Akkusativ)
от учителя,vom Lehrer (Dativ)
от подруги,von der Freundin (Dativ)
от животного,vom Tier (Dativ)
от соседей,von den Nachbarn (Dativ)
против плана,gegen den Plan (Akkusativ)
против идеи,gegen die Idee (Akkusativ)
против закона,gegen das Gesetz (Akkusativ)
против правил,gegen die Regeln (Akkusativ)
у булочника,beim Bäcker (Dativ)
у врача,bei der Ärztin (Dativ)
на(у) концерте,beim Konzert (Dativ)
у родителей,bei den Eltern (Dativ)
с(прошлое) дня,seit dem Tag (Dativ)
с(прошлое) недели,seit der Woche (Dativ)
с(прошлое) месяца,seit dem Monat (Dativ)
с(прошлое) лет,seit den Jahren (Dativ)
с(будущее) момента,ab dem Moment (Dativ)
с(будущее) часа,ab der Stunde (Dativ)
с(будущее) дня,ab dem Tag (Dativ)
с(будущее) праздников,ab den Ferien (Dativ)
на пляж,an den Strand (Akkusativ / Dativ)
на стену,an die Wand (Akkusativ / Dativ)
на окно,ans Fenster (Akkusativ / Dativ)
на границы,an die Grenzen (Akkusativ / Dativ)
в парк,in den Park (Akkusativ / Dativ)
в город,in die Stadt (Akkusativ / Dativ)
в комнату,ins Zimmer (Akkusativ / Dativ)
в страны,in die Länder (Akkusativ / Dativ)
на стуле,auf den Stuhl (Akkusativ / Dativ)
на улице,auf die Straße (Akkusativ / Dativ)
на диване,aufs Sofa (Akkusativ / Dativ)
на крыше,auf die Dächer (Akkusativ / Dativ)
через(выше) реку,über den Fluss (Akkusativ / Dativ)
через(выше) мост,über die Brücke (Akkusativ / Dativ)
через(выше) проблему,über das Problem (Akkusativ / Dativ)
через(выше) границы,über die Grenzen (Akkusativ / Dativ)
под столом,unter den Tisch (Akkusativ / Dativ)
под одеялом,unter die Decke (Akkusativ / Dativ)
под кроватью,unter das Bett (Akkusativ / Dativ)
под людьми,unter die Leute (Akkusativ / Dativ)
перед входом,vor den Eingang (Akkusativ / Dativ)
перед дверью,vor die Tür (Akkusativ / Dativ)
перед окном,vor das Fenster (Akkusativ / Dativ)
перед домами,vor die Häuser (Akkusativ / Dativ)
за шкафом,hinter den Schrank (Akkusativ / Dativ)
за стеной,hinter die Wand (Akkusativ / Dativ)
за полкой,hinter das Regal (Akkusativ / Dativ)
за зданиями,hinter die Gebäude (Akkusativ / Dativ)
между стульями,zwischen den Stühlen (Akkusativ / Dativ)
между стеной,zwischen der Wand (Akkusativ / Dativ)
между окном,zwischen dem Fenster (Akkusativ / Dativ)
между домами,zwischen den Häus (Akkusativ / Dativ)
