Question,Answer
~answer_language,de
Ich gehe ohne ___ Mantel.,"Ich gehe ohne den Mantel. (Akkusativ, m)"
Wir fahren mit ___ Bus.,"Wir fahren mit dem Bus. (Dativ, m)"
Das Geschenk ist für ___ Kind.,"Das Geschenk ist für das Kind. (Akkusativ, n)"
Er kommt aus ___ Haus.,"Er kommt aus dem Haus. (Dativ, n)"
Ich warte auf ___ Freund.,"Ich warte auf den Freund. (Akkusativ, m)"
Sie spricht mit ___ Lehrer.,"Sie spricht mit dem Lehrer. (Dativ, m)"
Er wohnt bei ___ Eltern.,"Er wohnt bei den Eltern. (Dativ, Pl.)"
Wir laufen durch ___ Park.,"Wir laufen durch den Park. (Akkusativ, m)"
Das ist ein Brief von ___ Freundin.,"Das ist ein Brief von der Freundin. (Dativ, f)"
Ich gehe zu ___ Arzt.,"Ich gehe zu dem Arzt → zum Arzt (Dativ, m, слияние)"
Я иду без куртки.,"Ich gehe ohne Jacke."
Мы едем на автобусе.,"Wir fahren mit dem Bus."
Письмо от моей бабушки.,"Ein Brief von meiner Großmutter. (Dativ, f)"
Она живёт у подруги.,"Sie wohnt bei ihrer Freundin. (Dativ, f)"
Это подарок для ребёнка.,"Das ist ein Geschenk für das Kind. (Akkusativ, n)"
Он идёт к врачу.,"Er geht zum Arzt. (Dativ, m — zu + dem → zum)"
Они идут через лес.,"Sie gehen durch den Wald. (Akkusativ, m)"
Мы возвращаемся из школы.,"Wir kommen aus der Schule. (Dativ, f)"
Он стоит у двери.,"Er steht bei der Tür. (Dativ, f)"
Она идёт против правил.,"Sie geht gegen die Regeln. (Akkusativ, Pl.)"
