Question,Answer
Это не сок.,Das ist kein Saft.
Это не шоколад.,Das ist keine Schokolade.
Это не мальчик.,Das ist kein Junge.
Это не девочки.,Das sind keine Mädchen.
Я не вижу кошек (дословно: я вижу никаких кошек).,Ich sehe keine Katzen.
У нас нет книг.,Wir haben keine Bücher.
Он не хитёр.,Er ist nicht schlau. 
Она не родом из Франции.,Sie kommt nicht aus Frankreich.
Я не иду в кино.,Ich gehe nicht ins Kino.
Мама не покупает продукты.,Die Mutter kauft keine Lebensmittel.
Я не устал. ,Ich bin nicht müde.
Катя не должна делать домашнее задание. ,Katja muss keine Hausaufgaben machen.
Маркус всегда в плохом настроении (дословно: Маркус никогда не имеет хорошее настроение).,Markus hat nie gute Laune.
Папа не голоден.,Der Vater hat keinen Hunger.
У меня нет друзей.,Ich habe keine Freunde.
Мама не может читать без очков.,Die Mutter kann ohne Brille nicht lesen.
Я не хочу есть.,Ich will nichts essen.
Никого нет дома.,Niemand ist zu Hause.
Ирина не имеет детей,Irina hat keine Kinder
Я не слышу радио.,Ich höre kein Radio.
Он не должен ждать (ему не обязательно).,Er soll nicht warten. 
Студенты не должны здесь курить.,Die Studenten dürfen hier nicht rauchen.
Ты болен. Ты можешь не идти в школу.,Du bist krank. Du darfst nicht in die Schule gehen.
Я ничего не пью.,Ich trinke nichts.
Это не цветок.,Das ist keine Blume.
Гарри не плавает сегодня.,Harry schwimmt heute nicht. 
(Учитель говорит) Мария может не писать.,(Der Lehrer sagt) Maria darf nicht schreiben.  
Я не смотрю это видео.,Ich schaue nicht das Video. 
Мы не много бегаем.,Wir laufen nicht viel.
У него нет (никакого) подарка для неё.,Er hat kein Geschenk für sie.
