Question,Answer
ab-, (tr) удаление / завершение: abfahren – уезжать (Der Zug fährt um 8 Uhr ab.)
an-, (tr) начало / приближение: anfangen – начинать (Wir fangen jetzt an.)
auf-, (tr) открытие / вверх / завершение: aufstehen – вставать (Ich stehe früh auf.)
aus-, (tr) выход / выключение: ausgehen – выходить (Wir gehen heute aus.)
ein-, (tr) вхождение / включение: einschalten – включать (Schalt den Fernseher ein!)
mit-, (tr) совместное действие: mitnehmen – брать с собой (Nimm dein Buch mit!)
nach-, (tr) повторение / следование: nachmachen – копировать (Er macht mich nach.)
vor-, (tr) предшествование / показ: vorlesen – читать вслух (Sie liest eine Geschichte vor.)
zu-, (tr) закрытие / добавление: zumachen – закрывать (Mach die Tür zu!)
be-, (un) воздействие на объект: besuchen – посещать (Ich besuche meine Freundin.)
ent-, (un) удаление / избавление: entkommen – сбежать (Der Hund entkommt.)
er-, (un) достижение результата: erfinden – изобретать (Wer hat das Rad erfunden?)
ver-, (un) ошибка / изменение: vergessen – забывать (Ich verliere meinen Schlüssel.)
zer-, (un) разрушение: zerbrechen – разбивать (Die Vase zerbricht.)
durch-, (tr/un) сквозь / полностью: durchlesen (отдел.) – прочитать (Ich lese das Buch durch.) | durchfallen (неотдел.) – провалиться (Er fällt durch die Prüfung.)
über-, (tr/un) над / пере-: übersetzen (неотдел.) – переводить (Er übersetzt den Text.) | überfahren (отдел.) – переехать (Der Bus fährt die Straße über.)
um-, (tr/un) вокруг / изменение: umarmen (неотдел.) – обнимать (Sie umarmt ihn.) | umziehen (отдел.) – переезжать (Wir ziehen nächsten Monat um.)
unter-, (tr/un) под / ниже: unterrichten (неотдел.) – преподавать (Sie unterrichtet Mathe.) | untergehen (отдел.) – заходить (о солнце) (Die Sonne geht um 8 unter.)
