Wort,Count,Lemma,Pos,Number,Case,Gender,VerbForm,Person,Mood,Tense,Degree,PronType,Foreign,Poss,Definite,Reflex
sie,1070,sie,PRON,Sing,Nom,Fem,,3,,,,Prs,,,,
ich,1014,ich,PRON,Sing,Nom,,,1,,,,Prs,,,,
das,781,der,PRON,Sing,Nom,Neut,,,,,,Dem,,,,
ist,748,sein,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
es,598,es,PRON,Sing,Nom,Neut,,3,,,,Prs,,,,
i,580,i,X,,,,,,,,,,,,,
nicht,574,nicht,PART,,,,,,,,,,,,,
du,544,du,PRON,Sing,Nom,,,2,,,,Prs,,,,
wir,478,wir,PRON,Plur,Nom,,,1,,,,Prs,,,,
die,456,der,DET,Sing,Nom,Fem,,,,,,Art,,,Def,
und,412,und,CCONJ,,,,,,,,,,,,,
der,371,der,DET,Sing,Nom,Masc,,,,,,Art,,,Def,
was,370,was,PRON,Sing,Acc,Neut,,,,,,Int,,,,
ein,297,ein,DET,Sing,Nom,Masc,,,,,,Art,,,Ind,
in,247,in,ADP,,,,,,,,,,,,,
zu,243,zu,ADP,,,,,,,,,,,,,
sind,239,sein,AUX,Plur,,,Fin,3,Ind,Pres,,,,,,
wie,220,wie,ADV,,,,,,,,,Int,,,,
ihr,213,ihr,PRON,Sing,Dat,Fem,,3,,,,Prs,,,,
er,207,er,PRON,Sing,Nom,Masc,,3,,,,Prs,,,,
doctor,200,Doctor,NOUN,Sing,Nom,Masc,,,,,,,,,,
aber,198,aber,CCONJ,,,,,,,,,,,,,
mir,194,mir,PRON,Sing,Dat,,,1,,,,Prs,,,,
mich,169,mich,PRON,Sing,Acc,,,1,,,,Prs,,,,
auf,165,auf,ADP,,,,,,,,,,,,,
hier,164,hier,ADV,,,,,,,,,,,,,
eine,161,ein,DET,Sing,Nom,Fem,,,,,,Art,,,Ind,
haben,154,haben,AUX,Plur,,,Fin,3,Ind,Pres,,,,,,
nein,151,nein,PART,,,,,,,,,,,,,
von,150,von,ADP,,,,,,,,,,,,,
den,149,der,DET,Plur,Dat,,,,,,,Art,,,Def,
bin,144,sein,AUX,Sing,,,Fin,1,Ind,Pres,,,,,,
uns,143,uns,PRON,Plur,Acc,,,1,,,,Prs,,,,
mit,141,mit,ADP,,,,,,,,,,,,,
ja,141,ja,ADV,,,,,,,,,,,,,
sich,133,sich,PRON,Sing,Acc,,,3,,,,Prs,,,,Yes
wenn,131,wenn,SCONJ,,,,,,,,,,,,,
kann,126,können,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
an,125,an,ADP,,,,,,,,,,,,,
sein,121,sein,AUX,,,,Inf,,,,,,,,,
rory,120,rory,ADV,,,,,,,,,,,,,
da,119,da,ADV,,,,,,,,,,,,,
so,116,so,ADV,,,,,,,,,,,,,
habe,116,haben,AUX,Sing,,,Fin,3,Sub,Pres,,,,,,
dass,113,dass,SCONJ,,,,,,,,,,,,,
dich,110,dich,PRON,Sing,Acc,,,2,,,,Prs,,,,Yes
wird,105,werden,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
nur,100,nur,ADV,,,,,,,,,,,,,
warum,99,warum,ADV,,,,,,,,,Int,,,,
einen,99,ein,DET,Sing,Acc,Masc,,,,,,Art,,,Ind,
war,99,sein,AUX,Sing,,,Fin,3,Ind,Past,,,,,,
amy,95,amy,PROPN,Sing,Nom,,,,,,,,,,,
okay,93,okay,PROPN,Sing,Nom,Neut,,,,,,,,,,
wo,92,wo,ADV,,,,,,,,,Int,,,,
noch,90,noch,ADV,,,,,,,,,,,,,
oh,90,oh,X,,,,,,,,,,Yes,,,
oder,90,oder,CCONJ,,,,,,,,,,,,,
bist,88,sein,AUX,Sing,,,Fin,2,Ind,Pres,,,,,,
keine,87,kein,DET,Sing,Nom,Fem,,,,,,Ind,,,,
dem,85,der,DET,Sing,Dat,Masc,,,,,,Art,,,Def,
hast,85,haben,AUX,Sing,,,Fin,2,Ind,Pres,,,,,,
ihn,84,ihn,PRON,Sing,Acc,Masc,,3,,,,Prs,,,,
hat,83,haben,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
werden,83,werden,AUX,Plur,,,Fin,3,Ind,Pres,,,,,,
also,79,also,ADV,,,,,,,,,,,,,
immer,77,immer,ADV,,,,,,,,,,,,,
aus,76,aus,ADP,,,,,,,,,,,,,
dir,75,dir,PRON,Sing,Dat,,,2,,,,Prs,,,,
wer,74,wer,PRON,Sing,Nom,Masc,,,,,,Int,,,,
schon,73,schon,ADV,,,,,,,,,,,,,
etwas,73,etwas,PRON,,,Neut,,,,,,Ind,,,,
jetzt,73,jetzt,ADV,,,,,,,,,,,,,
im,71,in,ADP,Sing,Dat,,,,,,,,,,,
euch,71,euch,PRON,Plur,Dat,,,2,,,,Prs,,,,
um,71,um,ADP,,,,,,,,,,,,,
als,70,als,ADP,,,,,,,,,,,,,
gut,69,gut,ADV,,,,,,,,Pos,,,,,
meine,69,meinen,DET,Sing,Nom,Fem,,,,,,Prs,,Yes,,
mal,68,mal,ADV,,,,,,,,,,,,,
mein,65,mein,DET,Sing,Nom,Masc,,,,,,Prs,,Yes,,
sagen,61,sagen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
tardis,59,Tardi,X,,,,,,,,,,Yes,,,
dann,59,dann,ADV,,,,,,,,,,,,,
alle,59,aller,PRON,Plur,Nom,,,,,,,Ind,,,,
gehen,59,gehen,VERB,,,,Inf,,,,,,,,,
