Wort,Num
sie,1070
ich,1014
das,781
ist,748
es,598
i,580
nicht,574
du,544
wir,478
die,456
und,412
der,371
was,370
ein,297
in,247
zu,243
sind,239
wie,220
ihr,213
er,207
doctor,200
aber,198
mir,194
mich,169
auf,165
hier,164
eine,161
haben,154
nein,151
von,150
den,149
bin,144
uns,143
mit,141
ja,141
sich,133
wenn,131
kann,126
an,125
sein,121
rory,120
da,119
so,116
habe,116
dass,113
dich,110
wird,105
nur,100
warum,99
einen,99
war,99
amy,95
okay,93
wo,92
noch,90
oh,90
oder,90
bist,88
keine,87
dem,85
hast,85
ihn,84
hat,83
werden,83
also,79
immer,77
aus,76
dir,75
wer,74
schon,73
etwas,73
jetzt,73
im,71
euch,71
um,71
als,70
gut,69
meine,69
mal,68
mein,65
sagen,61
tardis,59
dann,59
alle,59
gehen,59
ihnen,59
zeit,58
alles,57
gibt,56
man,56
muss,55
zum,52
los,51
sehen,50
sehr,49
auch,48
wirklich,47
tut,47
hallo,47
werde,46
bei,46
bitte,46
kommen,45
nichts,45
einfach,45
weg,44
einem,44
diese,44
des,43
wieder,43
tun,43
nach,42
mehr,42
am,40
mann,40
kein,40
vor,39
ihre,39
leben,39
ihm,38
denn,37
menschen,37
sicher,37
durch,37
einer,36
geht,36
nie,36
kannst,36
weil,35
time,34
wissen,34
will,34
machen,33
ganz,33
ganger,33
leid,32
lassen,32
dieser,32
sollte,32
jennifer,32
danke,31
zwei,29
sagte,29
kommt,29
komm,29
viel,29
mr,29
wirst,29
lange,29
flesh,29
genau,28
vielleicht,28
sofort,28
seid,28
habt,27
gesehen,27
hey,27
seht,27
denke,26
deine,26
wollen,26
ab,25
wort,25
bleiben,24
passiert,24
canton,24
s,24
dein,24
raum,24
waren,23
bis,23
kind,23
helfen,23
finden,23
schiff,23
pond,22
gott,22
gerade,22
universum,22
meinen,22
erinnern,22
sieh,21
seine,21
hin,21
ordnung,21
house,21
wurde,20
unsere,20
sagt,20
ort,20
warst,20
nun,20
drei,20
geben,20
ohne,19
brauchen,19
seit,19
raus,19
river,19
tot,19
damit,19
denen,19
leute,19
einmal,19
genug,19
sei,19
vom,19
cleaves,19
beide,18
glaube,18
eines,18
bedeutet,18
moment,18
president,18
teufel,18
zur,18
jen,18
narren,18
ganze,17
augen,17
unter,17
wollte,17
ihren,17
her,16
musst,16
selbst,16
welt,16
hatte,16
wurden,16
sterben,16
frau,16
minuten,16
na,16
wasser,16
lord,16
denkst,15
dr,15
jemand,15
macht,15
heute,15
jahre,15
ding,15
recht,15
sollen,15
dieses,15
tust,15
anderen,15
frage,15
diesen,15
diesem,15
all,15
besser,14
sir,14
dachte,14
egal,14
verstehe,14
viele,14
