De,Ru,Learned
~reverse,True
die Sekunde,секунда,-
die Minute,минута,-
die Stunde,час / урок
der Tag,день,-
der Morgen,утро,-
der Mittag, полдень,-
der Abend,вечер,-
die Nacht,ночь,-
der Montag,понедельник,-
der Dienstag,вторник
der Mittwoch,среда,-
der Donnerstag,четверг,-
der Freitag,пятница,-
der Samstag,суббота
der Sonntag,воскресенье
die Woche,неделя,-
der Januar,январь,-
der Februar,февраль,-
der März,март,-
der April,апрель,-
der Mai,май,-
der Juni,июнь,-
der Juli,июль,-
der August,август,-
der September,сентябрь,-
der Oktober,октябрь,-
der November,ноябрь,-
der Dezember,декабрь,-
der Monat,месяц,-
der Frühling,весна,-
der Sommer,лето,-
der Herbst,осень,-
der Winter,зима,-
das Jahr,год,-
das Jahrhundert,век,-
die Zukunft,будущее
jetzt,сейчас,-
heute,сегодня,-
gestern,вчера,-
morgen,завтра,-
bald,скоро,-
immer,всегда,-
manchmal,иногда,-
nie,никогда,-
schon,уже,-
noch,ещё,-
dann,"потом / затем / тогда"
zuerst,"сначала, для начала"
zuletzt / schließlich,в конце концов,-
selten,редко,-
oft,часто,-
häufig,очень часто
gewöhnlich,обычно
gelegentlich,изредка
fast nie,почти никогда,-
fast immer,почти всегда,-
übermorgen,послезавтра,-
vorgestern,позавчера,-
gleichzeitig,одновременно,-
solange,пока,-
seit,(длится) начиная с... (в прошлом),-
nun,теперь
sofort,сейчас же
das Datum,die Daten / дата / число
die Zeit,время
gerade,прямо сейчас / только что
zurzeit,в этот момент / прямо сейчас
