Question,Answer
~reverse,True
~forward,False

mein,"Притяжательные Именительный, муж. род, ich"
meine,"Притяжательные Именительный, жен. род, ich"
mein,"Притяжательные Именительный, ср. род, ich"
meine,"Притяжательные Именительный, мн. число, ich"
meinen,"Притяжательные Винительный, муж. род, ich"
meine,"Притяжательные Винительный, жен. род, ich"
mein,"Притяжательные Винительный, ср. род, ich"
meine,"Притяжательные Винительный, мн. число, ich"
meinem,"Притяжательные Дательный, муж. род, ich"
meiner,"Притяжательные Дательный, жен. род, ich"
meinem,"Притяжательные Дательный, ср. род, ich"
meinen,"Притяжательные Дательный, мн. число, ich"
meines,"Притяжательные Родительный, муж. род, ich"
meiner,"Притяжательные Родительный, жен. род, ich"
meines,"Притяжательные Родительный, ср. род, ich"
meiner,"Притяжательные Родительный, мн. число, ich"

dein,"Притяжательные Именительный, муж. род, du"
deine,"Притяжательные Именительный, жен. род, du"
dein,"Притяжательные Именительный, ср. род, du"
deine,"Притяжательные Именительный, мн. число, du"
deinen,"Притяжательные Винительный, муж. род, du"
deine,"Притяжательные Винительный, жен. род, du"
dein,"Притяжательные Винительный, ср. род, du"
deine,"Притяжательные Винительный, мн. число, du"
deinem,"Притяжательные Дательный, муж. род, du"
deiner,"Притяжательные Дательный, жен. род, du"
deinem,"Притяжательные Дательный, ср. род, du"
deinen,"Притяжательные Дательный, мн. число, du"
deines,"Притяжательные Родительный, муж. род, du"
deiner,"Притяжательные Родительный, жен. род, du"
deines,"Притяжательные Родительный, ср. род, du"
deiner,"Притяжательные Родительный, мн. число, du"

sein,"Притяжательные Именительный, муж. род, er"
seine,"Притяжательные Именительный, жен. род, er"
sein,"Притяжательные Именительный, ср. род, er"
seine,"Притяжательные Именительный, мн. число, er"
seinen,"Притяжательные Винительный, муж. род, er"
seine,"Притяжательные Винительный, жен. род, er"
sein,"Притяжательные Винительный, ср. род, er"
seine,"Притяжательные Винительный, мн. число, er"
seinem,"Притяжательные Дательный, муж. род, er"
seiner,"Притяжательные Дательный, жен. род, er"
seinem,"Притяжательные Дательный, ср. род, er"
seinen,"Притяжательные Дательный, мн. число, er"
seines,"Притяжательные Родительный, муж. род, er"
seiner,"Притяжательные Родительный, жен. род, er"
seines,"Притяжательные Родительный, ср. род, er"
seiner,"Притяжательные Родительный, мн. число, er"

ihr,"Притяжательные Именительный, муж. род, sie_sg"
ihre,"Притяжательные Именительный, жен. род, sie_sg"
ihr,"Притяжательные Именительный, ср. род, sie_sg"
ihre,"Притяжательные Именительный, мн. число, sie_sg"
ihren,"Притяжательные Винительный, муж. род, sie_sg"
ihre,"Притяжательные Винительный, жен. род, sie_sg"
ihr,"Притяжательные Винительный, ср. род, sie_sg"
ihre,"Притяжательные Винительный, мн. число, sie_sg"
ihrem,"Притяжательные Дательный, муж. род, sie_sg"
ihrer,"Притяжательные Дательный, жен. род, sie_sg"
ihrem,"Притяжательные Дательный, ср. род, sie_sg"
ihren,"Притяжательные Дательный, мн. число, sie_sg"
ihres,"Притяжательные Родительный, муж. род, sie_sg"
ihrer,"Притяжательные Родительный, жен. род, sie_sg"
ihres,"Притяжательные Родительный, ср. род, sie_sg"
ihrer,"Притяжательные Родительный, мн. число, sie_sg"

sein,"Притяжательные Именительный, муж. род, es"
seine,"Притяжательные Именительный, жен. род, es"
sein,"Притяжательные Именительный, ср. род, es"
seine,"Притяжательные Именительный, мн. число, es"
seinen,"Притяжательные Винительный, муж. род, es"
seine,"Притяжательные Винительный, жен. род, es"
sein,"Притяжательные Винительный, ср. род, es"
seine,"Притяжательные Винительный, мн. число, es"
seinem,"Притяжательные Дательный, муж. род, es"
seiner,"Притяжательные Дательный, жен. род, es"
seinem,"Притяжательные Дательный, ср. род, es"
seinen,"Притяжательные Дательный, мн. число, es"
seines,"Притяжательные Родительный, муж. род, es"
seiner,"Притяжательные Родительный, жен. род, es"
seines,"Притяжательные Родительный, ср. род, es"
seiner,"Притяжательные Родительный, мн. число, es"

unser,"Притяжательные Именительный, муж. род, wir"
unsere,"Притяжательные Именительный, жен. род, wir"
unser,"Притяжательные Именительный, ср. род, wir"
unsere,"Притяжательные Именительный, мн. число, wir"
unseren,"Притяжательные Винительный, муж. род, wir"
unsere,"Притяжательные Винительный, жен. род, wir"
unser,"Притяжательные Винительный, ср. род, wir"
unsere,"Притяжательные Винительный, мн. число, wir"
unserem,"Притяжательные Дательный, муж. род, wir"
unserer,"Притяжательные Дательный, жен. род, wir"
unserem,"Притяжательные Дательный, ср. род, wir"
unseren,"Притяжательные Дательный, мн. число, wir"
unseres,"Притяжательные Родительный, муж. род, wir"
unserer,"Притяжательные Родительный, жен. род, wir"
unseres,"Притяжательные Родительный, ср. род, wir"
unserer,"Притяжательные Родительный, мн. число, wir"

euer,"Притяжательные Именительный, муж. род, ihr"
euere,"Притяжательные Именительный, жен. род, ihr"
euer,"Притяжательные Именительный, ср. род, ihr"
euere,"Притяжательные Именительный, мн. число, ihr"
