Question,Answer
am,"an + dem (у, на — местоположение)"
ans,"an + das (на, к — направление)"
im,in + dem (в — местоположение)
ins,in + das (в — направление)
vom,"von + dem (от, с)"
zum,zu + dem (к)
zur,zu + der (к — жен. род)
beim,"bei + dem (у, при)"
übers,über + das (над — направление)
überm,über + dem (над — местоположение)
ums,um + das (вокруг)
fürs,für + das (для)
aufs,auf + das (на — направление)
aufm,auf + dem (на — местоположение)
vors,vor + das (перед — направление)
vorm,vor + dem (перед — местоположение)
hinterm,hinter + dem (за — местоположение)
unterm,unter + dem (под — местоположение)
unter's,"unter + das (под — направление, разговорное)"
übern,"über + den (над — муж. род, Akk.)"
nebenm,neben + dem (рядом с — местоположение)
nebens,neben + das (рядом с — направление)
außerm,außer + dem (кроме)
