Question,Answer
eins,единица {ж} [число] / один [при счёте]
vier,четвёрка {ж} / четыре
fünf,пятёрка {ж} / пять
sechs,шестёрка {ж} / шесть
sieben,седмь [устр.] [книжн.] / семёрка {ж} / просеивать [несов.] [через сито] / семь
acht,внимание {с} / восьмёрка {м} / восемь
neun,девятка {ж} / девять
zehn,"десятка {ж} [цифра; игральная карта; о трамвае, автобусе и т. п.] / десять"
zwanzig,двадцать
fünfzig,пятьдесят
hundert,сто
tausend,тысяча
siebzehn,семнадцать
achtzehn,восемнадцать
neunzehn,девятнадцать
dreißig,тридцать
vierzig,сорок
sechzig,шестьдесят
siebzig,семьдесят
achtzig,восемьдесят
elf,одиннадцать
neunzig,девяносто
zwölf,двенадцать
dreizehn,тринадцать
vierzehn,четырнадцать
die Million,миллион
fünfzehn,пятнадцать
sechzehn,шестнадцать
der Meter,метр
der Liter,литр
der Zentimeter,сантиметр
das Gramm,грамм
der Quadratmeter,квадратный метр
das Kilogramm,килограмм
das Prozent,процент
das Pfund,фунт
