De,Ru,Learned
~reverse,True
die Leute,люди,-
das Buch,книга,-
die Uhr,часы,-
die Maus,мышь,-
das Kaninchen,кролик,-
das Kleid,платье,-
die Frage,вопрос,-
die Antwort,ответ,-
der Tisch,стол,-
das Kind,ребенок,-
die Familie,семья,-
die Lehrerin,учительница,-
die Stunden,уроки,-
das Haus,дом,-
die Zeit,время,-
die Freundin,подруга,-
das Restaurant,ресторан,-
der Lachs,лосось,-
die Socken,носки,-
die Milch,молоко,-
das Bett,кровать,-
die Arbeit,работа,-
die Frau,женщина,-
die Suppe,суп,-
das Mädchen,девочка,-
der Junge,мальчик,-
die Wörter,слова,-
der Freund,друг,-
der Hund,собака,-
die Mutter,мама,-
das Abendessen,ужин,-
der Vater,папа,-
das Auto,машина,-
die Kinder,дети,-
die Schule,школа,-
Österreich,Австрия,-
die Musik,музыка,-
die Schwester,сестра,-
die Eltern,родители,-
das Bier,пиво,-
die Hausaufgabe,домашняя работа,-
die Oma,бабушка,-
der Opa,дедушка,-
die Puppe,кукла,-
die Katze,кошка,-
das Lied,песня,-
die Pizza,пицца,-
die Freunde,друзья,-
die Kleidung,вещи,-
die Blumen,цветы,-
