De,Ru,Learned
~reverse,True
die Freude,радость
die Besserung,выздоровление,-
der Geburtstag,день рождения,-
die Gesundheit,здоровье,-
die Liebe,любовь,-
das Weihnachten,Рождество,-
der Tod,смерть,-
die Menschheit,человечество,-
die Geschichte,история
die Polizei,полиция,-
der Kopf,голова,-
die Etage,этаж,-
der Ort,место,-
der Name,имя,-
das Geld,деньги,-
die Probe,проба / репетиция,-
die Nachricht,сообщение / новость
der Bescheid,уведомление / ответ
der Sinn,смысл
der Sohn,сын,-
der Spaß,веселье,-
das Klavier,пианино / фортепиано
die Geige,скрипка
das Instrument,инструмент
die Wohnung,квартира
das Eis,мороженое
der Kuchen,пирог
das Getränk,напиток
der Saft,сок
die Schokolade,шоколад
das Spielzeug,игрушка
das Geschenk,подарок
das Land,страна
die Sprache,язык
das Zimmer,комната
das Brötchen,бутерброд
die Anzeige,объявление
die Straße,улица
das Foto,фото
das Gespräch,разговор
das Dokument,документ
das Handy,телефон
das Geschirr,посуда
der Regenschirm,зонт
die Fenster,окно {с}
die Wand,стена {ж}
das Ferien,каникулы {мн}
die Zimmer,номер {м} [в гостинице] / горница {ж} [устр.] [комната] / комната {ж}
die Tür,дверь {ж}
der Urlaub,отпуск {м}
die Lampe,лампа
der Tunnel,тоннель {м}
der Arzt,врач {м} / доктор {м} [врач] / медик {м}
das Hotel,гостиница {ж} / отель {м}
die Lehrer,наставник {м} [учитель] / препод {м} [разг.] / преподаватель {м} / учитель {м}
das Tier,животное {с} / зверь {м}
die Nachbar,соседи {мн}
der Plan,план
das Gesetz,закон {м}
die Ärztin,врач {м} [женщина] / врачиха {ж} [разг.] / докторша {ж} [разг.] [женщина-врач]
das Konzert,концерт {м}
der Strand,(морской) берег {м} / взморье {с} / пляж {м} / побережье {с} (моря)
der Park,парк {м}
der Stuhl,стул {м}
die Brücke,мост
das Problem,вопрос {м} [проблема] / проблема {ж}
der Eingang,вход {м} / подъезд {м} [вход]
der Schrank,шкаф {м}
das Regal,полка {ж} / стеллаж {м}
die Gebäude,здание {с} / сооружение {с} [строение] / строение {с}
