Question,Answer
wichtig,важно / важный / знаменательный / значимый / насущно
die Farbe,"окрас {м} / карточная масть {ж} / краска {ж} / цвет {м} [окраска, окрас]"
schwarz,вороной / налево [разг.] [незаконно] / чёрный
rot,красный
blau,голубой / синева {ж} / синь {ж} [синева] / синий
grün,неспелый / зелёный
gelb,жёлтый
bunt,пёстрый [состоящий из разных элементов] / многокрасочный / разноцветный / пёстро / цветной [пёстрый]
die Rechnung,"счёт {м} [за товар, работу] / счёт-фактура {м} / исчисление {с}"
die Speisekarte,меню {с} [нескл.]
die Vorspeise,закуска {ж} [перед основной едой]
die Hauptspeise,основное блюдо {с}
der Nachtisch,десерт {м} / сладкое {с} [десерт]
das Fleisch,плоть {ж} [устр.] [книжн.] [тж. перен.] / мясо {с} / мясцо {с} [разг.]
der Salat,салят {м} / салат-латук {м} / салат {м}
der Käse,сыр {м}
das Obst,фрукты {мн}
das Gemüse,овощ {м}
die Nuss,орех {м}
der Kaffee,кофе
das Tee,чай {м} / чаёк {м} [уменьш.]
der Wein,вино
Das Krankenhaus,больница {ж} / стационар {м}
der Schmerzmittel,болеутоляющее {с} / болеутоляющее средство {с} / обезболивающее {с} / обезболивающее средство {с}
das Medikament,лека́рство {с} / лекарственное средство {с} / лекарственный препарат {м} / медикамент {м}
die Schmerz,боль
rücken,ворочать [несов.] [сдвигать с места] / спина {ж} / хребет {м} / надвинуть [сов.]
der Fuß,нога
der Bauch,живот
der Bein,нога {ж} [выше ступни]
die Hand,кисть {ж} [руки] / рука {ж} [кисть]
der Arm,рука
die Richtung,курс {м} [направление] / направление {с} / сторона {ж} [направление]
der Ausgang,исход {м} [результат] / выходная дверь {ж} / выход {м}
der Platz,площадка {ж} / площадь {ж} [в городе и т. п.] / сидение {с} / место {с} / плац {м}
rechts,вправо [на вопрос «где?»] / справа
links,cлевa [на вопрос «где?»] / на левой стороне / наизнанку / налево / слева
das Geradeaus,напрямик [разг.] / прямо
der Vorname,имя {с} [в отличие от фамилии]
der Nachname,фамилия {ж}
die Adresse,адрес {м}
der Beruf,"род {м} занятий / специальность {ж} / профессия {ж} / работа {ж} [занятие, как источник заработка]"
die Erwachsene,взрослые {мн}
der Supermarkt,супермаркет {м} / универсам {м} [универсальный магазин самообслуживания],-
die Tasche,карман {м} / сумка {ж}
die Zahnbürste,зубная щётка {ж}
die Hilfe,выручка {ж} [разг.] [помощь] / подмога {ж} [разг.] [помощь] / подспорье {с} [помощь] / помощь {ж}
das Museum,музей {м}
der Berg,гора {ж}
das Meer,море {с}
der See,озеро
der Wetter,держащий {м} пари / погода {ж} / погодка {ж} [разг.]
der Regen,дождь
der Schnee,снег {м} / снежок {м} [уменьш. к снег]
der Gewitter,гроза {ж}
das Internet,интернет {м} / инет {м} [разг.]
der Passwort,пароль {м}
die Vorsicht,бдительность {ж} / опаска {ж} [разг.] / осторожность {ж}
aufladen,грузить [несов.] / зарядить [электричеством] [сов.] / заряжать [электричеством] [несов.] / погрузка {ж}
morgens,по утрам / поутру [разг.] / утром
nachmittags,после обеда [во второй половине дня] / после полудня
abends,по вечерам / вечером
nachts,ночью / по ночам
früher,прежде / ранее / раньше
später,позже
der Zug,поезд
der Bus,автобус
das Fahrrad,велосипед {м}
der Fuß,стопа
der Bahnhof,вокзал
die Haltestelle,остановка
besuchen,посещать
zahlen,платить / цифры
toll,отлично
der Löffel,ложка
die Gabel,вилка
trennen,отдельно / порознь / раздельный [отдельный]
