De,Ru,Learned
die Ordnung,порядок
unten,внизу
letzter,последний
schiff,корабль
der Raum,пространство / комната / космос
retten,спасать
die Rasse,раса
der Moment,момент
abnehmend,убывающий / снижающийся
der Spalt,щель / трещина
die Luft,воздух
reden,говорить / беседовать
der Krieg,война
richtig,правильно / верно / правильный
warten,ждать
oben,наверху
versuchen,пытаться / пробовать
letzter,последний (повторяется)
halten,держать / останавливаться
kontrollieren,контролировать / проверять
falsch,неправильно / ложный
recht,право / правый / прав
die Stadt,город
der Computer,компьютер
gerne,охотно / с удовольствием
wahr,правда / истинный
die Zukunft,будущее
die Milliarde,миллиард
das Raumschiff,космический корабль
die Idee,идея
allein,один / в одиночку
gesamt,весь / общий
aufhalten,останавливать / задерживать
der Teufel,дьявол
bringen,приносить / приводить
bisschen,немного
