De,Ru
das Jahr,год
das Wochenende,выходные
das Restaurant,ресторан
der Kuchen,пирог
das Medikament,лекарство
das Museum,музей
das Problem,проблема
das Tee,чай
der Schmerzmittel,обезболивающее
der Staat,государство
der Wetter,погода
die Adresse,адрес
die Schmerz,боль
das Glas, бокал
das Kino,кинотеатр
das Salz,соль
das Silber, серебро
das Silvester, канун Нового года
der Baum,дерево
die Immobilien,недвижимость
die Entschuldigung,извинение
die Erde,Земля
die Lebensmittel,продукты питания
die Luft,воздух
die Ordnung,порядок
die Stadt,город
