De,Ru
Achtung!,Внимание!
Auf Wiederhören!,Услышимся!
Auf Wiedersehen!,До встречи!
Bitte!,Пожалуйста!
Danke!,Спасибо!
Gerne!,Охотно! С удовольствием!
Hallo!,Привет!
Tschüss!,Пока!
Willkommen!,Добро пожаловать!
spät,поздно
einmal,один раз / однажды
drei,три
fünf,пять
immer,всегда
jetzt,теперь / сейчас
morgen,завтра
nie,никогда
oft,часто
schon,уже
sechs,шесть
zwei,два
wir,мы
antworten,отвечать
arbeiten,работать
kommen,"приходить, приезжать"
machen,делать
mal,раз /-ка (разг. частица)
malen,рисовать
man,кто-то (безлично/неопределённо)
müde,уставший
natürlich,конечно
reparieren,чинить
sagen,сказать
schön,красиво
sehen,видеть
sitzen,сидеть
spielen,играть
sprechen,говорить
tanzen,танцевать
tot,мертвый
traurig,грустный
trinken,пить
verstehen,понимать
waschen,"мыть, стирать"
gesund,здоровый
herzlich,сердечно
hören,слышать
helfen,помогать
singen,петь
essen,есть (кушать)
fahren,ездить
fallen,падать
fragen,спросить
klar,ясно / конечно
gehen,идти
genau,точно
zuhause,дОма
zusammen,вместе
kaufen,покупать
laut,громко
leben,жить
lernen,учить
lieben,любить
das Mädchen,девочка
der Geburtstag,день рождения
der Junge,мальчик
der Kopf,голова
der Lachs,лосось
der Name,имя
der Opa,дедушка
der Park,парк {м}
der Plan,план
die Oma,бабушка
die Pizza,пицца
die Polizei,полиция
die Probe,проба / репетиция
die Puppe,кукла
bitter,горький
bunt,пёстрый
das Fahrrad,велосипед {м}
das Fleisch,плоть {ж} [устр.] [книжн.] [тж. перен.] / мясо {с} / мясцо {с} [разг.]
das Gemüse,овощ {м}
das Geradeaus,напрямик [разг.] / прямо
das Internet,интернет {м} / инет {м} [разг.]
das Meer,море {с}
das Obst,фрукты {мн}
Das Krankenhaus,больница {ж} / стационар {м}
abends,по вечерам / вечером
das Wasser,вода
der Arm,рука
der Ausgang,исход {м} [результат] / выходная дверь {ж} / выход {м}
der Bahnhof,вокзал
der Eingang,вход {м} / подъезд {м} [вход]
der Fuß,стопа
der Salat,салят {м} / салат-латук {м} / салат {м}
der Schnee,снег {м} / снежок {м} [уменьш. к снег]
der See,озеро
der Supermarkt,супермаркет {м} / универсам {м} [универсальный магазин самообслуживания]
der Vorname,имя {с} [в отличие от фамилии]
der Wein,вино
der Zug,поезд
die Haltestelle,остановка
die Hilfe,выручка {ж} [разг.] [помощь] / подмога {ж} [разг.] [помощь] / подспорье {с} [помощь] / помощь {ж}
dumm,глупый 
dunkel,тёмный 
frisch,свежий
heiß,горячий
hell,яркий 
kalt,холодный
nachts,ночью / по ночам
parken,парковать
scharf,острый
spazieren,гулять
später,позже
süß,сладкий
warm,тёплый
Österreich,Австрия
das Gelb, жёлтый
das Grün, зелёный
das Hähnchen, курочка
das Rot, красный
der Brief,письмо
der Gott,бог
der Krieg,война
der Mann,мужчина
der Pass,паспорт
der Pfeffer,перец
der Sekt, шампанское
der Wodka, водка
der Zucker,сахар
das Gold, золото
die Apotheke, аптека) 
die Blume,цветок 
die Cola, кола
die Idee,идея
die Limonade, лимонад
die Rasse,раса
die Sonne,солнце 
die/das App,приложение
falsch,неправильно / ложный
halten,держать / останавливаться
kontrollieren,контролировать / проверять
letzte,последний
richtig,правильно / верно / правильный
schwer,тяжёлый / сложный
warten,ждать
wieder,снова
anderer,другой
bevor,прежде чем
das Video,видео
der Hunger,голод
erster,первый
krank,больной
schwimmen,плавать
der Tisch,стол
die Leute,люди
die Maus,мышь
die Uhr,часы
