Wort,Num
ich,86
heute,52
und,51
auch,43
der,33
hallo,32
abend,31
komme,30
nicht,27
die,26
kommt,25
euch,23
in,21
gute,19
von,17
alles,16
kommen,15
das,15
am,15
ist,15
bin,14
viel,14
ein,13
mit,13
wir,12
zur,12
jahr,12
es,11
einen,11
aber,10
zum,10
mich,10
kann,10
gruss,10
vom,10
bis,9
leider,9
guten,9
allen,9
komm,9
ja,9
freude,9
zu,9
besserung,9
morgen,8
dir,8
wieder,8
mittwoch,8
danke,8
mal,8
didge,7
beim,7
dann,7
neue,7
dabei,7
wegen,7
etwas,6
da,6
mir,6
noch,6
ihr,6
eibe,6
hab,6
wer,5
uhr,5
geburtstag,5
gesundheit,5
liebe,5
lieben,5
rutsch,5
ins,5
an,5
alle,5
klar,5
aus,5
keine,5
prima,5
herzliche,4
auf,4
mein,4
weihnachten,4
neues,4
gut,4
eine,4
heut,4
hat,4
spass,4
ab,3
fest,3
wird,3
wenn,3
sich,3
werde,3
dich,3
freunde,3
vielen,3
dank,3
war,3
frohes,3
gesundes,3
den,3
als,3
dazu,3
herzlich,3
willkommen,3
schon,3
probe,3
nur,3
was,3
nach,3
meinen,3
schaffen,3
gutes,3
nachricht,3
bitte,2
bescheid,2
gibt,2
sonntag,2
herzen,2
zeit,2
spielen,2
freue,2
los,2
machen,2
oder,2
sehr,2
bardentreffen,2
sind,2
bei,2
na,2
koffer,2
paar,2
woche,2
grundreinigung,2
wohl,2
dem,2
um,2
aufnahmen,2
aufnahme,2
gesund,2
probt,2
einfach,2
jahreswechsel,2
schade,2
mehr,2
voraussichtlich,2
sehen,2
ebenfalls,2
sinn,2
fit,2
koch,2
doch,2
arbeit,2
sohn,2
